,Lyrics,Artist
15,"Let me help you, how much longer till you realize? You're getting worse and it's killing you inside I can't break through, do you have to face this on your own? Want to be left alone Don't leave me now, don't leave me now I know that it's tearing you apart Don't leave me now, don't leave me now Come alive You feel I'm asking too much of you but can't let go Fear breeds the hate and your apathy, empty and hollow You lost your face, there's no getting through. Why shut me out? Frantic, disturbed, filled with misery, can't figure it out Sleepless, worse for wear Staring at the ceiling I'm sedated, intoxicated Deafening, deafening Shout it out, shout it out Burning, burning No way out, no way out Don't leave me now, don't leave me now I know that it's tearing you apart Don't leave me now, don't leave me now Come alive Asked me to listen Can't go on to face another day I lied, not admitting What I lost is still in you Something's missing You see darkness in my eyes Maculate, there is no cure Playing over to stop pretending Walked inside, it's never ending turn Don't leave me now, don't leave me now Don't leave me now Don't leave me now, don't leave me now Don't leave me now",Dream Theater
16,"There's something about this girl, some kind of magic I swear she cast a spell on me Not the first time, might be the last Can't let this moment slip away Try to find the words, none survived with me Air of confidence, but I can barely breathe She's without a care, electrified and hell-bent A thousand volts igniting me The waves crash over me, far below but I breach The undertow, my reverie Sadness in her smile, your love, it's been a while Near and far away, she chases it each day A promise to come back, all the while, still waiting Seems it lost its way Out of reach, just too hard to reach You're letting your love slip away Out of reach, yeah, it's hard to reach There's another day Although you're hurting and afraid You're stronger than yesterday",Dream Theater
17,"So far away from home, beyond a distant reach Faith whispers from the edge, returning piece by piece A lonely point of light, captured in a final glance A solitary hint of life, discovered it by chance God creators, dream destroyers Spineless cowards and fearless warriors Hopeful children, mothers and fathers Our blood filled river's fueled by hate We worship heroes, kings and saints But who's out there to save us from ourselves? All you will ever know, all life that ever was All you despise or love, living out their lives This isolated speck, hurtling through the cosmic dark Would seem to go astray if we were washed away God creators, dream destroyers Knowledge seekers and bold explorers Hopeful children, mothers and fathers Out of this place we call our home Adrift in space, we're on our own But who's out there to save us from ourselves?",Dream Theater
18,"Silence disguised I watch you Show me the hurt That haunts you Would you despise the thrill If all you hide were mine? I can't hold on any longer These feelings keep growing stronger Echoes that deafen the mind will bury my voice in their wake Caught in a Web Removed from the world Hanging on by a thread Spinning the lies devised in my head I've seen the path the one you take shows the truth for you to make This turn of phrase we might not see is the thirst of desire found so easily Try to push me 'round the world some more And make me live in fear I bare all that I am made of now Attractive I don't care 'Cause even when I danced with life no one was there to share Does this voice the wounds of your soul? Does this voice the wounds of your soul? Caught in a Web Removed from the world Hanging on by a thread Spinning the lies devised in my head Tried to live the life you live and saw It doesn't work for me I bare all that I am made of now Attractive, I can't be Inside the Dance of Life is one I'll never hold to me You can't heal the wounds of my soul. You can't heal the wounds of my soul. Caught in a Web Removed from the world Hanging on by a thread Spinning the lies devised in my head Caught in a Web Refused by the world Hanging on by a thread Spinning a cage Denied and misread",Dream Theater
19,"Subconscious strange sensation Unconscious relaxation What a pleasant nightmare And I can't wait to get there again Every time I close my eyes There's another vivid surprise Another whole life waiting Chapters unfinished, fading Closer now, Slowly coming into view I've arrived, Blinding sunshine beaming through There's a house I'm drawn into Familiar settings, nothing new There's a pathway leading there With a haunting chill in the air There's room at the top of the stairs Every night I'm drawn up there There's a girl in the mirror Her face is getting clearer Young child won't you tell me why I'm here? In her eyes I sense a story never told Behinde the disguise There's something tearing At her soul Tonight I've been searching for it A feeling that's deep inside m Tonight I've been searching for The one that nobody knows Trying to break free I just can't help myself I'm feeling like I'm going out of my head Tears my heart into two I'm not the one the sleeper thought he knew Back on my feet again Eyes open to real world Metropolis surrounds me The mirror's shattered the girl Why is this other life Haunting me everyday I'd break through the other side If only I'd find the way Something's awfully familiar The feeling's so hard to shake Could I have lived in that other world It's a link that I'm destined to make I'm still searching but I don't know what for The missing key to unlock my mind's door Today I am searching for it A feeling that won't go away Today I am searching for it The only one I know Trying to break free I just can't help myself I'm feeling like I'm going out of my head Tears my soul into two I'm not the one I thought I always knew I just can't help myself I'm feeling like I'm going out of my head Uncanny, strange Deja Vu But I don't mind I hope to find the truth",Dream Theater
20,He seems alone and silent Thoughts remain without an answer Afraid and uninvited He slowly drifts away Moved by desire and fear Breaking delicate wings Lifting shadows Off a Dream once broken She can turn a drop of water Into an ocean As the rain is pouring down Tears of sorrow wash his mind Drifting with the current This stream of life flows on He seems alone and silent Waiting on his hands and knees The chill of winter's darkness sits quietly Moved by desire and fear He takes a few steps away Lifting shadows Off a Dream once broken She can turn a drop of water Into an ocean And she listens openly He pours his soul into the water Reflecting the mystery She carries him away And the winds die slowly And she listens openly And she listens openly Lifting shadows Off a Dream once broken She can turn a drop of water Into an ocean Lifting Shadows off a Dream Lifting Shadows off a Dream,Dream Theater
21,"Open your eyes And turn off your mind Step right up folks And you will find A growing trend An epidemic Spread with zen And hypodermics yeah Yeah Just close your mind You can find all you need with your eyes The big machines take care of you Until you kill yourself and then The sales go through the roof Calculated, formulated Feed my head with simple thoughts And let me breathe instead of being taught All bottled up and tearing at the seams I'm bored, just let me breathe A daily dose of eMpTyV Will flush your mind right down the drain Shannon Hoon and Kurt Cobain Make yourself a household name yeah Yeah Just close your mind You can find all you need with your eyes The big machines take care of you Until you kill yourself And then the sales go through the roof Calculated, formulated Feed my head with simple thoughts And let me breathe instead of being taught All bottled up and tearing at the seams I'm bored, just let me breathe Strike up your best angst ridden posture, whoa Manufactured anger Let's not forget my legacy All my heroes have failed me Now they're dead and buried yeah Just close your mind You can find all you need with your eyes The big machines Will take care of you Until the fashion fades And the checks go through My bankroll's red And my face is blue And still they'll turn their backs on you For someone new Feed my head With some real thoughts And let me think instead Of being taught I'll say things You won't believe Just stand back Just let me breathe",Dream Theater
22,"There, there it is I swear he's gonna murder that poor kid Wait, I hear it again Don't turn on the lights until we Hear the way it ends Under Peruvian skies Vanessa regretfully waits The story unfolds in her eyes Where midnight hysteria's No big surprise Battered and bruised Always confusing The love that she's losing for hate Poor Vanessa Hey, I hope you know I'm taking all of this time with me when I go Shame, you're not to blame I'm the monster you created In your daddy's name Under Peruvian skies Vanessa regretfully waits The story unfolds in her eyes Where midnight hysteria's No big surprise Battered and bruised Always confusing The love that she's losing for hate Poor Vanessa Terror by night Liar by day Telling her secrets Won't take them away Under Peruvian skies Vanessa regretfully waits The story unfolds in her eyes Where midnight hysteria's No big surprise Battered and bruised Always confusing The love that she's losing for hate Poor Vanessa",Dream Theater
23,All your eyes have ever seen All you've ever heard Is etched upon my memory I spoken through my words All that I take with me Is all you've left behind We`re sharing one eternity Living in two minds Linked by an endless thread Impossible to break,Dream Theater
24,"Alone at night I feel so strange I need to find All the answers to my dreams When I sleep at night I hear the cries What does this mean? I shut the door and traveled to another home I met an older man, he seemed to be alone I felt that I could trust him He talked to me that night; ""Lad did you know a girl was murdered here?"" ""This fatal tragedy was talked about for years"" Victoria's gone forever Only memories remain She passed away She was so young Without love Without truth There can be no turning back Without faith Without hope There can be no peace of mind As the night went on I started to find my way I learned about a tragedy A mystery still today I tried to get more answers But he said, ""You're on your own."" Then he turned away and left me As I stand there all alone He said, ""You'll know the truth As you future days unfold"" Without love Without truth There can be no turning back Without faith Without hope There can be no peace of mind ""Now it is time to see how you died. Remember that death is not the end but only a transition.""",Dream Theater
25,"He's just the kind of man you hear about Who leaves his family for an easy out They never saw the signs, he never said a word He couldn't take another day Carry me to the shoreline Bury me in the sand Walk me across the water And maybe you'll understand Once the stone you're crawling under Is lifted off your shoulders Once the cloud that's raining over your head disappears The noise that you'll hear is the crashing down of hollow years She's not the kind of girl you hear about She'll never want another, she'll never be without She'll give you all the signs, she'll tell you everything Then turn around and walk away Carry me to the shoreline Bury me in the sand Walk me across the water And maybe you'll understand Once the stone you're crawling under Is lifted off your shoulders Once the cloud that's raining over your head disappears The noise that you'll hear is the crashing down of hollow years Carry me to the shoreline Bury me in the sand Walk me across the water And maybe you'll understand Once the stone you're crawling under Is lifted off your shoulders Once the cloud that's raining over your head disappears The noise that you'll hear is the crashing down of hollow years Once the stone you're crawling under Once the stone you're crawling under Once the stone you're crawling under",Dream Theater
26,"(Mhm) (Oh oh) Live another day Climb a little higher Find another reason to stay Ashes in your hands Mercy in your eyes If you're searching for a silent sky You won't find it here Look another way You won't find it here So die another day The coldness of his words The message in his silence Face the candle to the wind This distance in my voice Isn't leaving you a choice So if you're looking for a time to run away You won't find it here Look another way You won't find it here So try another day They took pictures of our dreams Ran to hide behind the stairs And said, ""Maybe when it's right for you, they'll fall"" But if they don't come down Resist the need to pull them in And throw them away Better to save the mystery Than surrender to the secret Whoa oh You won't find it here Look another way You won't find it here So try another day",Dream Theater
27,"The Sleeper: Shine- lake of fire Lines take me higher My mind drips desire Confined and overtired Living this charade Is getting me nowhere I can't shake this charade The city's cold blood calls me home HomeIt's what I long for Back homewhere I belong The city- it calls to me Decadent scenes from my memory Sorrow- eternity My demons are coming to drown me Help- I'm falling, I'm crawling I can't keep away from its clutch Can't have it, this habit It's calling me back to my home The Miracle: I remember the first time she came to me Poured her soul out all night and cried I remember I was told there's a new love that's born For each one that has died I never thought that I Could carry on with this life But I can't resist myself No matter how hard I try Living their other life Is getting them nowhere I'll make her my wife Her sweet temptation calls me home HomeIt's what I long for My homewhere she belongs Her ecstasy- means so much to me Even decieving my own blood Victoria watches and thoughtfully smiles She's taking me to my home Help- he's my brother, but I love her I can't keep away from her touch Deception, dishonor It's calling me back to my home Nicholas: Her story- it holds the key Unlocking dreams from my memory Solving this mystery Is everything that is a part of me Help- regression, obsession I can't keep away from her touch Leave no doubt, to find out It's calling me back to my home",Dream Theater
28,"Lost in the sky Clouds roll by and I roll with them Arrows fly Seas increase and then fall again This world is spinning around me This world is spinning without me and Every day sends future to past Every breath leaves me one less to my last Watch the sparrow falling Gives new meaning to it all If not today nor yet tomorrow then some other day I'll take seven lives for one And then my only father's son As sure as I did ever love him I am not afraid This world is spinning around me The whole world keeps spinning around me and All life is future to past Every breath leaves me one less to my last Pull me under Pull me under Pull me under, I'm not afraid All that I feel is honor and spite All I can do is to set it right Dust fills my eyes Clouds roll by and I roll with them Centuries cry Orders fly and I fall again This world is spinning inside me The whole world is spinning inside me Every day sends future to past Every step brings me closer to my last Pull me under Pull me under Pull me under, I'm not afraid Living my life too much in the sun Only until your will is done Pull me under Pull me under Pull me under, I'm not afraid All that I feel is honor and spite All I can do is to set it right Pull me under Pull me under Pull me under, I'm not afraid Living my life too much in the sun Only until your will is done Oh that this too Too solid flesh Would melt",Dream Theater
29,Tell me Remind me Chase the water racing from the sky Always Beside me Taste the memories running from my eyes Nervous flashlights scan my dreams Liquid shadows silence their screams I smile at the moon Chasing water from the sky I argue with the clouds Stealing beauty from my eyes Outside the soundness of your mind Bathing your soul in silver tears Beneath a blackened summer sky Praying for time to disappear Beneath a summer sky Under glass moonlight Night awaits the lamb's arrival Liquid shadows crawl Silver teardrops fall The bride subsides to her survival By your hand I've awakened Bear this honor in my name Outside the soundness of your mind Bathing your soul in silver tears Beneath a blackened summer sky Praying for time to disappear Outside the soundness of your mind Bathing your soul in silver tears Beneath a blackened summer sky Praying for time to disappear,Dream Theater
30,"A suited man smiled said ""It's just a matter of time You can have the world at your feet by tomorrow Just sign on this line"" Hold tight limelight Approaching the paramount With the sun in our eyes Fearing family ties, legalizes, compromise In a dimly lit room with a stool as his stage A dream stricken prince of a pauper's descent Haunts the eavesdropping silence That presses his window As he sweats a performance To an audience that ticks on the walls To the practical observer It's just a matter of time You can deviate from the common place Only to fall back in line I understand mine's a risky plan And your system can't miss But is security after all a 'cause Or symptom of happiness? Brave, yet afraid, his eyes on the horizon In a steady set gaze A mariner soon from an open cocoon Takes a moment to summon his courage To stifle his grave apprehension And trembling, approaches the surf A father's benediction as his hopeful son departs To brave the sea of rage and conquer at all costs Lingers in his memory And visions still surviving in a logic-proof shell That should have been held sacred, safe and hidden well Are compromised in usury With every rising sun that yields no sight of land The hesitation cultivates within the tired man And rumors spread of mutiny And though the time will come when dream and day unite Tonight the only consolation causing him to fight Is fearless faith in destiny Even when plan fall to pieces I can still find the courage With promise I've found in my faith Likely or not, it's a dream that we keep And at odds with our senses we'll climb But if faith is the answer, we've already reached it And if spirit's a sign Then it's only a matter of time Only a matter of time",Dream Theater
31,"(Hold it now) (Wait a minute) (Come on! whew) Just let me catch my breath I've heard the promises I've seen the mistakes I've had my fair share of tough breaks I need a new voice, a new law, a new way Take the time, reevaluate It's time to pick up the pieces Go back to square one I think it's time for a change There is something that I feel To be something that is real I feel the heat within my mind And craft new changes with my eyes Giving freely wandering promises A place with decisions I'll fashion I won't waste another breath You can feel the waves coming on (It's time to take the time) Let them destroy you or carry you on (It's time to take the time) You're fighting the weight of the world But no one can save you this time Close your eyes You can find all you need in your mind The unbroken spirit obscured and disquiet Finds clearness this trial demands And at the end of this day sighs an anxious relief For the fortune lies still in his hands If there's a pensive fear, a wasted year A man must learn to cope If his obsession's real Suppression that he feels must turn to hope Life is no more assuring than love (It's time to take the time) There are no answers from voices above (It's time to take the time) You're fighting the weight of the world And no one can save you this time Close your eyes You can find all you need in your mind I close my eyes And feel the water rise around me Drown the beat of time Let my senses fall away I can see much clearer now I'm blind (Ora che ho perso la vista) (Ci vedo di piu) You can feel the waves coming on (It's time to take the time) Let them destroy you or carry you on (It's time to take the time) You're fighting the weight of the world But no one can save you this time Close your eyes You can find all you need in your mind Find all you need in your mind If you take the time Find all you need in your mind If you take the time",Dream Theater
32,"Lost in the sky Clouds roll by and I roll with them Arrows fly Seas increase and then fall again This world is spinning around me This world is spinning without me and Every day sends future to past Every breath leaves me one less to my last Watch the sparrow falling Gives new meaning to it all If not today nor yet tomorrow then some other day I'll take seven lives for one And then my only father's son As sure as I did ever love him I am not afraid This world is spinning around me The whole world keeps spinning around me and All life is future to past Every breath leaves me one less to my last Pull me under Pull me under Pull me under, I'm not afraid All that I feel is honor and spite All I can do is to set it right Dust fills my eyes Clouds roll by and I roll with them Centuries cry Orders fly and I fall again This world is spinning inside me The whole world is spinning inside me Every day sends future to past Every step brings me closer to my last Pull me under Pull me under Pull me under, I'm not afraid Living my life too much in the sun Only until your will is done Pull me under Pull me under Pull me under, I'm not afraid All that I feel is honor and spite All I can do is to set it right Pull me under Pull me under Pull me under, I'm not afraid Living my life too much in the sun Only until your will is done Oh that this too Too solid flesh Would melt",Dream Theater
33,"(Hold it now) (Wait a minute) (Come on! whew) Just let me catch my breath I've heard the promises I've seen the mistakes I've had my fair share of tough breaks I need a new voice, a new law, a new way Take the time, reevaluate It's time to pick up the pieces Go back to square one I think it's time for a change There is something that I feel To be something that is real I feel the heat within my mind And craft new changes with my eyes Giving freely wandering promises A place with decisions I'll fashion I won't waste another breath You can feel the waves coming on (It's time to take the time) Let them destroy you or carry you on (It's time to take the time) You're fighting the weight of the world But no one can save you this time Close your eyes You can find all you need in your mind The unbroken spirit obscured and disquiet Finds clearness this trial demands And at the end of this day sighs an anxious relief For the fortune lies still in his hands If there's a pensive fear, a wasted year A man must learn to cope If his obsession's real Suppression that he feels must turn to hope Life is no more assuring than love (It's time to take the time) There are no answers from voices above (It's time to take the time) You're fighting the weight of the world And no one can save you this time Close your eyes You can find all you need in your mind I close my eyes And feel the water rise around me Drown the beat of time Let my senses fall away I can see much clearer now I'm blind (Ora che ho perso la vista) (Ci vedo di piu) You can feel the waves coming on (It's time to take the time) Let them destroy you or carry you on (It's time to take the time) You're fighting the weight of the world But no one can save you this time Close your eyes You can find all you need in your mind Find all you need in your mind If you take the time Find all you need in your mind If you take the time",Dream Theater
34,He seems alone and silent Thoughts remain without an answer Afraid and uninvited He slowly drifts away Moved by desire and fear Breaking delicate wings Lifting shadows Off a Dream once broken She can turn a drop of water Into an ocean As the rain is pouring down Tears of sorrow wash his mind Drifting with the current This stream of life flows on He seems alone and silent Waiting on his hands and knees The chill of winter's darkness sits quietly Moved by desire and fear He takes a few steps away Lifting shadows Off a Dream once broken She can turn a drop of water Into an ocean And she listens openly He pours his soul into the water Reflecting the mystery She carries him away And the winds die slowly And she listens openly And she listens openly Lifting shadows Off a Dream once broken She can turn a drop of water Into an ocean Lifting Shadows off a Dream Lifting Shadows off a Dream,Dream Theater
35,Tell me Remind me Chase the water racing from the sky Always Beside me Taste the memories running from my eyes Nervous flashlights scan my dreams Liquid shadows silence their screams I smile at the moon Chasing water from the sky I argue with the clouds Stealing beauty from my eyes Outside the soundness of your mind Bathing your soul in silver tears Beneath a blackened summer sky Praying for time to disappear Beneath a summer sky Under glass moonlight Night awaits the lamb's arrival Liquid shadows crawl Silver teardrops fall The bride subsides to her survival By your hand I've awakened Bear this honor in my name Outside the soundness of your mind Bathing your soul in silver tears Beneath a blackened summer sky Praying for time to disappear Outside the soundness of your mind Bathing your soul in silver tears Beneath a blackened summer sky Praying for time to disappear,Dream Theater
36,"Heart sick at the sight of the Status Seeker In a sense I'm not beyond reproach The aspiration to drop a name When any rose might smell the same Maybe you'll figure it out someday ""I want to know you now You know I've always believed in you."" Nothing is sacred You draw the bottom line With a dollar sign Change of opinion At the drop of a dime Graceless intrusion Are you sanctified in your Judgment of me? All that I deserve is what you were Unable to see In a garden where the seeds were Spilled I favored the few that stood strong In the sun As I reached for the profit of my prize I found I had trampled the forgotten Ones Nothing is sacred You draw the bottom line With a dollar sign Change of opinion At the drop of a dime Graceless intrusion Are you sanctified in your Judgment of me? All that I deserve is what you were Unable to see You're running in circles And I'm turning away You refused to believe Now I'm turning away Nothing is sacred You draw the bottom line With a dollar sign Change of opinion At the drop of a dime Graceless intrusion Are you sanctified in your Judgment of me? All that I deserve is what you were Unable to see You're running in circles And I'm turning away You refused to believe Now I'm turning away",Dream Theater
37,"(Mhm) (Oh oh) Live another day Climb a little higher Find another reason to stay Ashes in your hands Mercy in your eyes If you're searching for a silent sky You won't find it here Look another way You won't find it here So die another day The coldness of his words The message in his silence Face the candle to the wind This distance in my voice Isn't leaving you a choice So if you're looking for a time to run away You won't find it here Look another way You won't find it here So try another day They took pictures of our dreams Ran to hide behind the stairs And said, ""Maybe when it's right for you, they'll fall"" But if they don't come down Resist the need to pull them in And throw them away Better to save the mystery Than surrender to the secret Whoa oh You won't find it here Look another way You won't find it here So try another day",Dream Theater
